site_id,latitude,longitude,description,feature_name,comid,country,origin_study_code,data_source,nearest_eq_distance_km,nearest_eq_id,nearest_eq_magnitude,nearest_eq_depth_km,nearest_eq_depth_category,nearest_eq_year,nearest_eq_place,proximity_category
MP-100747,31.669166,-81.830278,stream,Altamaha,14347322.0,United States,CM,PNNL_River_Sampling,538.68,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Distant (>500 km)
MP-100749,31.426667,-81.606667,stream,Altamaha,14353056.0,United States,CM,PNNL_River_Sampling,563.32,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Distant (>500 km)
MP-100785,26.72027,-81.64963,stream,Caloosahatchee River,10247687.0,United States,CM,PNNL_River_Sampling,404.28,usc000lzju,5.0,10.0,Shallow,2014.0,"26 km NNW of Corralillo, Cuba",Moderate (100-500 km)
MP-100819,29.953092,-82.927775,stream,Suwannee River,2232693.0,United States,CM,PNNL_River_Sampling,541.55,usp000esv9,5.9,14.0,Shallow,2006.0,Gulf of America,Distant (>500 km)
MP-100981,30.423663,-85.032366,stream,Apalachicola River,2297254.0,United States,CM,PNNL_River_Sampling,481.67,usp000esv9,5.9,14.0,Shallow,2006.0,Gulf of America,Moderate (100-500 km)
MP-100984,29.945472,-85.013591,stream,Apalachicola River,2298964.0,United States,CM,PNNL_River_Sampling,432.4,usp000esv9,5.9,14.0,Shallow,2006.0,Gulf of America,Moderate (100-500 km)
MP-101022,33.6052817,-86.7497169,stream,Five Mile Creek,18566327.0,United States,CM,PNNL_River_Sampling,503.1,iscgem814965,5.26,15.7,Shallow,1968.0,"5 km SSW of Norris City, Illinois",Distant (>500 km)
MP-101142,37.0422,-80.5627,stream,Little River,6884184.0,United States,CM,PNNL_River_Sampling,78.51,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Very Close (<100 km)
MP-101143,37.3724,-80.8599,stream,New River,6908699.0,United States,CM,PNNL_River_Sampling,101.87,se60324281,5.1,4.14,Shallow,2020.0,"4 km SE of Sparta, North Carolina",Moderate (100-500 km)
MP-101276,36.08252,-84.575253,stream,Crooked Fork,19710385.0,United States,CM,PNNL_River_Sampling,239.49,se60079,5.2,8.0,Shallow,1980.0,"3 km SSE of Sharpsburg, Kentucky",Moderate (100-500 km)
MP-101336,46.37655,-90.64121,stream,Bad River,1814999.0,United States,CM,PNNL_River_Sampling,831.97,ushis1163,5.0,2.0,Shallow,1937.0,"3 km E of New Knoxville, Ohio",Distant (>500 km)
MP-101527,43.4099,-83.965,stream,Saginaw River,13204443.0,United States,CM,PNNL_River_Sampling,301.71,usp0002qkz,5.0,10.0,Shallow,1986.0,"4 km NNW of Chardon, Ohio",Moderate (100-500 km)
MP-101583,46.804,-96.798,stream,Red River of the North,6667885.0,United States,CM,PNNL_River_Sampling,577.94,ushis2657,5.1,30.0,Shallow,1964.0,"11 km NW of Merriman, Nebraska",Distant (>500 km)
MP-101584,46.9316,-96.78201,stream,Red River of the North,6667827.0,United States,CM,PNNL_River_Sampling,588.95,ushis2657,5.1,30.0,Shallow,1964.0,"11 km NW of Merriman, Nebraska",Distant (>500 km)
MP-101897,38.9329146,-90.3068491,stream,Mississippi River,880824.0,United States,CM,PNNL_River_Sampling,202.68,iscgem814965,5.26,15.7,Shallow,1968.0,"5 km SSW of Norris City, Illinois",Moderate (100-500 km)
MP-101898,38.86168,-90.13425,stream,Mississippi River,880648.0,United States,CM,PNNL_River_Sampling,185.83,iscgem814965,5.26,15.7,Shallow,1968.0,"5 km SSW of Norris City, Illinois",Moderate (100-500 km)
MP-101915,45.5974,-110.566,stream,Yellowstone River,4366016.0,United States,CM,PNNL_River_Sampling,82.87,iscgem882677,5.67,15.0,Shallow,1959.0,"13 km SSW of Mammoth, Wyoming",Very Close (<100 km)
MP-101929,44.847593,-107.305985,stream,Tongue River,5336835.0,United States,CM,PNNL_River_Sampling,126.41,usp00024q9,5.0,18.0,Shallow,1984.0,"37 km W of Gillette, Wyoming",Moderate (100-500 km)
MP-102055,39.76778,-94.8625,stream,MO River,2252949.0,United States,CM,PNNL_River_Sampling,413.31,us10006jxs,5.8,5.557,Shallow,2016.0,"14 km NW of Pawnee, Oklahoma",Moderate (100-500 km)
MP-102063,38.984876,-94.973106,stream,Kansas River,3730389.0,United States,CM,PNNL_River_Sampling,332.58,us10006jxs,5.8,5.557,Shallow,2016.0,"14 km NW of Pawnee, Oklahoma",Moderate (100-500 km)
